CustomerID,CustomerName,Gender,Age,City,State,Region,Country,Segment,SignupDate,LoyaltyTier,PreferredChannel,NewsletterOptIn,PostalCode,CustomerStatus
C0001,Customer 1,Male,36,Coimbatore,Tamil Nadu,South,India,Consumer,2023-02-21,Gold,Email,Yes,719177,Inactive
C0002,Customer 2,Female,34,Chennai,Tamil Nadu,South,India,Consumer,2023-03-03,Bronze,Email,Yes,850801,Inactive
C0003,Customer 3,Male,21,Hyderabad,Telangana,South,India,Consumer,2025-07-08,Bronze,Referral,No,391370,Active
C0004,Customer 4,Female,26,Hyderabad,Telangana,South,India,Corporate,2024-11-20,Gold,Web,No,733053,Active
C0005,Customer 5,Female,45,Chennai,Tamil Nadu,South,India,Consumer,2025-07-29,Bronze,Web,No,705398,Active
C0006,Customer 6,Female,39,Coimbatore,Tamil Nadu,South,India,Consumer,2023-04-04,Gold,Email,No,391477,Inactive
C0007,Customer 7,Male,43,Pune,Maharashtra,West,India,Consumer,2023-11-30,Bronze,Web,Yes,738721,Active
C0008,Customer 8,Female,50,Kolkata,West Bengal,East,India,Corporate,2024-05-16,Silver,Phone,No,983795,Active
C0009,Customer 9,Male,46,Hyderabad,Telangana,South,India,Corporate,2023-03-07,Gold,Phone,No,322956,Inactive
C0010,Customer 10,Female,37,Delhi,Delhi,North,India,Consumer,2025-07-28,Gold,Web,No,711879,Inactive
C0011,Customer 11,Female,53,Pune,Maharashtra,West,India,Corporate,2024-03-25,Gold,Email,Yes,260266,Active
C0012,Customer 12,Male,45,Delhi,Delhi,North,India,Small Business,2023-05-11,Silver,Web,Yes,813329,Active
C0013,Customer 13,Male,28,Kolkata,West Bengal,East,India,Corporate,2024-06-30,Silver,Phone,No,103403,Active
C0014,Customer 14,Female,61,Kolkata,West Bengal,East,India,Corporate,2024-01-01,Bronze,Phone,Yes,492078,Active
C0015,Customer 15,Female,59,Kolkata,West Bengal,East,India,Corporate,2025-12-22,Silver,Email,Yes,480613,Active
C0016,Customer 16,Female,57,Hyderabad,Telangana,South,India,Consumer,2023-04-29,Gold,Referral,Yes,897550,Active
C0017,Customer 17,Female,37,Bengaluru,Karnataka,South,India,Small Business,2025-08-31,Bronze,Referral,Yes,665493,Active
C0018,Customer 18,Male,49,Mumbai,Maharashtra,West,India,Small Business,2025-03-28,Silver,Email,Yes,335613,Active
C0019,Customer 19,Female,58,Pune,Maharashtra,West,India,Consumer,2023-02-13,Gold,Email,Yes,340063,Active
C0020,Customer 20,Female,53,Chennai,Tamil Nadu,South,India,Consumer,2024-11-07,Silver,Referral,Yes,665428,Active
C0021,Customer 21,Male,36,Bhubaneswar,Odisha,East,India,Corporate,2026-03-26,Silver,Phone,Yes,201640,Inactive
C0022,Customer 22,Male,50,Pune,Maharashtra,West,India,Small Business,2025-05-17,Gold,Email,Yes,522180,Active
C0023,Customer 23,Female,33,Coimbatore,Tamil Nadu,South,India,Small Business,2024-05-24,Silver,Phone,No,292402,Active
C0024,Customer 24,Female,49,Jaipur,Rajasthan,North,India,Small Business,2024-05-26,Gold,Email,Yes,197794,Active
C0025,Customer 25,Male,51,Bengaluru,Karnataka,South,India,Consumer,2025-04-12,Silver,Email,Yes,497383,Active
C0026,Customer 26,Male,39,Delhi,Delhi,North,India,Corporate,2024-06-27,Bronze,Referral,Yes,299123,Active
C0027,Customer 27,Female,41,Hyderabad,Telangana,South,India,Consumer,2023-04-30,Gold,Referral,Yes,159643,Active
C0028,Customer 28,Female,64,Bengaluru,Karnataka,South,India,Consumer,2023-05-21,Silver,Email,Yes,707041,Active
C0029,Customer 29,Male,63,Bhubaneswar,Odisha,East,India,Small Business,2023-06-17,Bronze,Web,No,314182,Active
C0030,Customer 30,Male,29,Hyderabad,Telangana,South,India,Small Business,2024-06-27,Bronze,Web,No,431536,Active
C0031,Customer 31,Female,25,Chennai,Tamil Nadu,South,India,Small Business,2025-07-27,Gold,Web,Yes,465963,Active
C0032,Customer 32,Male,31,Hyderabad,Telangana,South,India,Corporate,2025-01-26,Bronze,Web,Yes,800306,Active
C0033,Customer 33,Male,28,Coimbatore,Tamil Nadu,South,India,Consumer,2023-10-03,Bronze,Phone,No,395443,Active
C0034,Customer 34,Male,53,Pune,Maharashtra,West,India,Corporate,2024-02-21,Silver,Email,Yes,765096,Inactive
C0035,Customer 35,Female,42,Mumbai,Maharashtra,West,India,Consumer,2023-04-01,Bronze,Web,Yes,877237,Inactive
C0036,Customer 36,Female,28,Kolkata,West Bengal,East,India,Consumer,2025-05-25,Bronze,Phone,Yes,975137,Active
C0037,Customer 37,Female,48,Bhubaneswar,Odisha,East,India,Consumer,2026-02-05,Gold,Web,No,934795,Active
C0038,Customer 38,Female,63,Pune,Maharashtra,West,India,Consumer,2024-03-06,Silver,Referral,Yes,348238,Active
C0039,Customer 39,Female,32,Bengaluru,Karnataka,South,India,Small Business,2025-04-24,Silver,Referral,Yes,379767,Active
C0040,Customer 40,Female,51,Coimbatore,Tamil Nadu,South,India,Consumer,2025-02-22,Gold,Referral,No,420016,Active
C0041,Customer 41,Female,46,Hyderabad,Telangana,South,India,Corporate,2023-02-18,Silver,Email,No,468204,Inactive
C0042,Customer 42,Female,28,Kolkata,West Bengal,East,India,Corporate,2024-11-09,Gold,Web,Yes,213669,Inactive
