ProductID,ProductName,Category,SubCategory,Brand,UnitPrice,UnitCost,ProductClass,Supplier,StockQty,ReorderLevel,OnlineOnly,PackageSize,WarrantyMonths,ProductStatus
P0001,Vertex Pen 1,Office Supplies,Pen,Zenith,9078.55,5791.85,Standard,Supplier A,240,2,No,Large,3,Active
P0002,Prime Iron 2,Appliances,Iron,Pulse,21706.3,15547.03,Standard,Supplier C,106,7,Yes,Small,36,Discontinued
P0003,Zenith Vacuum 3,Appliances,Vacuum,Pulse,1179.98,891.46,Standard,Supplier D,85,22,Yes,Small,16,Discontinued
P0004,Prime Shoes 4,Sports,Shoes,Zenith,11927.64,8189.87,Economy,Supplier C,65,8,No,Large,24,Active
P0005,Vertex Sofa 5,Furniture,Sofa,Vertex,14471.91,10644.66,Premium,Supplier C,120,5,Yes,Large,17,Active
P0006,Orbit Pen 6,Office Supplies,Pen,Zenith,21966.44,13919.07,Economy,Supplier B,126,25,Yes,Small,29,Discontinued
P0007,Pulse Cabinet 7,Furniture,Cabinet,Prime,17508.17,13386.85,Premium,Supplier A,106,3,Yes,Small,16,Active
P0008,Vertex Mixer 8,Appliances,Mixer,Vertex,14873.14,11290.38,Economy,Supplier C,93,0,No,Small,25,Active
P0009,Prime Bottle 9,Sports,Bottle,Vertex,23097.29,16274.65,Premium,Supplier D,203,23,No,Small,27,Active
P0010,Vertex Fan 10,Appliances,Fan,Nimbus,31930.27,21716.98,Economy,Supplier D,222,29,Yes,Small,13,Active
P0011,Prime Bookshelf 11,Furniture,Bookshelf,Nimbus,10335.12,7976.61,Premium,Supplier D,204,27,No,Large,36,Discontinued
P0012,Orbit Fan 12,Appliances,Fan,Prime,5415.66,4662.44,Economy,Supplier A,58,5,No,Small,9,Active
P0013,Apex Vacuum 13,Appliances,Vacuum,Apex,2182.41,1421.33,Premium,Supplier B,26,20,No,Medium,17,Active
P0014,Zenith Stapler 14,Office Supplies,Stapler,Nova,19075.68,15691.9,Standard,Supplier C,225,29,No,Medium,32,Active
P0015,Zenith Racket 15,Sports,Racket,Pulse,5598.86,3447.06,Economy,Supplier D,139,20,No,Medium,33,Active
P0016,Zenith Monitor 16,Electronics,Monitor,Prime,10512.61,7752.08,Standard,Supplier A,138,26,Yes,Medium,21,Discontinued
P0017,Pulse Shoes 17,Sports,Shoes,Prime,24037.46,17219.23,Standard,Supplier D,209,9,Yes,Small,26,Active
P0018,Nimbus Vacuum 18,Appliances,Vacuum,Nimbus,13989.61,10972.69,Standard,Supplier C,25,13,Yes,Large,20,Active
P0019,Zenith Dumbbell 19,Sports,Dumbbell,Zenith,16350.11,10369.56,Premium,Supplier A,168,14,No,Medium,34,Active
P0020,Nova Notebook 20,Office Supplies,Notebook,Zenith,6329.45,3871.56,Standard,Supplier C,73,4,No,Large,3,Active
P0021,Nimbus Mobile 21,Electronics,Mobile,Prime,562.52,446.94,Premium,Supplier C,123,22,Yes,Medium,8,Active
P0022,Pulse Headphones 22,Electronics,Headphones,Zenith,23013.42,19409.27,Standard,Supplier C,214,12,Yes,Small,18,Discontinued
P0023,Pulse Fan 23,Appliances,Fan,Apex,21540.02,18461.47,Economy,Supplier B,126,12,No,Medium,13,Active
P0024,Prime Bottle 24,Sports,Bottle,Orbit,4343.96,3123.77,Premium,Supplier A,226,21,Yes,Small,18,Discontinued
