SalesID,OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,DiscountPct,SalesAmount,CostAmount,Profit,SalesChannel,PaymentMethod,ShipMode,OrderStatus,Region,City,SalesRep
S00001,O10001,2025-10-04,C0429,P0018,3,13989.61,0.15,35673.51,32918.07,2755.44,Store,Net Banking,Standard,Delivered,South,Hyderabad,Sales Rep C
S00002,O10002,2026-01-29,C0438,P0313,4,5705.57,0,22822.28,17907.08,4915.2,Store,Cash,Express,Delivered,West,Pune,Sales Rep B
S00003,O10003,2025-07-08,C0106,P0195,6,2911.98,0.1,15724.69,13099.32,2625.37,Partner,UPI,Same Day,Delivered,South,Hyderabad,Sales Rep A
S00004,O10004,2025-12-23,C0278,P0391,1,37172.02,0.15,31596.22,23089.12,8507.1,Store,Net Banking,Same Day,Delivered,East,Kolkata,Sales Rep A
S00005,O10005,2026-03-21,C0175,P0372,4,18819.89,0.2,60223.65,51143.2,9080.45,Partner,UPI,Standard,Returned,South,Hyderabad,Sales Rep C
S00006,O10006,2026-07-02,C0440,P0481,4,18210.16,0.1,65556.58,46121.16,19435.42,Partner,Net Banking,Standard,Returned,South,Hyderabad,Sales Rep D
S00007,O10007,2025-09-01,C0382,P0474,2,27354.83,0,54709.66,34579.16,20130.5,Store,Net Banking,Standard,Delivered,South,Bengaluru,Sales Rep C
S00008,O10008,2026-02-09,C0173,P0293,1,28409.28,0.15,24147.89,21771.59,2376.3,Store,Net Banking,Express,Delivered,South,Bengaluru,Sales Rep A
S00009,O10009,2026-08-06,C0064,P0158,6,27678.74,0.05,157768.82,137445.0,20323.82,Store,Card,Express,Returned,West,Pune,Sales Rep A
S00010,O10010,2026-04-23,C0226,P0005,1,14471.91,0.05,13748.31,10644.66,3103.65,Store,Card,Express,Delivered,East,Kolkata,Sales Rep A
S00011,O10011,2026-07-19,C0142,P0460,3,15601.74,0,46805.22,36745.86,10059.36,Store,Card,Express,Delivered,South,Bengaluru,Sales Rep C
S00012,O10012,2025-05-11,C0445,P0254,2,26484.13,0.2,42374.61,37000.88,5373.73,Online,Card,Same Day,Delivered,South,Coimbatore,Sales Rep B
S00013,O10013,2025-02-09,C0059,P0336,2,20833.86,0.2,33334.18,34050.24,-716.06,Partner,Cash,Same Day,Delivered,South,Bengaluru,Sales Rep A
S00014,O10014,2025-08-22,C0284,P0368,1,626.93,0.2,501.54,420.13,81.41,Store,Net Banking,Standard,Delivered,South,Coimbatore,Sales Rep A
S00015,O10015,2025-12-25,C0308,P0121,1,11616.81,0,11616.81,9453.19,2163.62,Partner,Cash,Standard,Delivered,South,Hyderabad,Sales Rep B
S00016,O10016,2026-08-08,C0105,P0167,3,592.78,0.2,1422.67,1195.86,226.81,Store,UPI,Same Day,Returned,South,Bengaluru,Sales Rep C
S00017,O10017,2025-12-01,C0074,P0013,5,2182.41,0.05,10366.45,7106.65,3259.8,Store,Cash,Same Day,Delivered,West,Pune,Sales Rep D
S00018,O10018,2025-10-29,C0483,P0499,5,14860.62,0,74303.1,63129.3,11173.8,Online,Net Banking,Standard,Delivered,North,Jaipur,Sales Rep B
S00019,O10019,2025-01-27,C0467,P0303,1,20116.01,0.15,17098.61,17024.59,74.02,Online,Net Banking,Same Day,Delivered,South,Bengaluru,Sales Rep B
S00020,O10020,2025-02-03,C0194,P0426,6,16340.8,0.2,78435.84,76370.52,2065.32,Online,Cash,Same Day,Delivered,East,Bhubaneswar,Sales Rep A
S00021,O10021,2025-08-18,C0491,P0479,5,8643.34,0.15,36734.19,35714.4,1019.79,Partner,Cash,Same Day,Delivered,North,Jaipur,Sales Rep A
S00022,O10022,2026-06-22,C0311,P0242,5,24173.28,0.1,108779.76,98984.0,9795.76,Store,Net Banking,Standard,Delivered,West,Mumbai,Sales Rep B
S00023,O10023,2026-01-06,C0169,P0125,2,9252.78,0.1,16655.0,12688.86,3966.14,Store,UPI,Same Day,Delivered,East,Bhubaneswar,Sales Rep D
S00024,O10024,2026-02-24,C0376,P0491,3,8669.17,0,26007.51,19743.48,6264.03,Store,UPI,Express,Returned,South,Bengaluru,Sales Rep B
S00025,O10025,2026-03-05,C0230,P0403,2,5939.95,0.15,10097.91,9865.38,232.53,Online,Card,Express,Delivered,East,Bhubaneswar,Sales Rep C
S00026,O10026,2025-12-16,C0408,P0147,3,911.0,0,2733.0,1925.73,807.27,Online,Cash,Express,Delivered,West,Mumbai,Sales Rep D
S00027,O10027,2025-07-22,C0324,P0452,2,30535.99,0.1,54964.78,43414.08,11550.7,Online,Card,Standard,Returned,West,Mumbai,Sales Rep C
S00028,O10028,2026-04-27,C0392,P0284,6,12888.37,0,77330.22,54342.6,22987.62,Online,UPI,Express,Delivered,South,Chennai,Sales Rep B
S00029,O10029,2026-06-12,C0038,P0068,5,10576.57,0.1,47594.57,45279.5,2315.07,Store,Net Banking,Standard,Returned,West,Pune,Sales Rep B
S00030,O10030,2025-05-02,C0365,P0151,3,16628.22,0.05,47390.43,34788.09,12602.34,Partner,UPI,Same Day,Delivered,South,Hyderabad,Sales Rep A
S00031,O10031,2025-12-30,C0379,P0472,4,27571.96,0.1,99259.06,75663.76,23595.3,Partner,Cash,Same Day,Returned,West,Pune,Sales Rep C
S00032,O10032,2025-05-18,C0388,P0245,6,32567.41,0,195404.46,129957.36,65447.1,Partner,UPI,Standard,Delivered,North,Jaipur,Sales Rep C
S00033,O10033,2026-04-10,C0346,P0333,4,25260.16,0.05,95988.61,65502.72,30485.89,Store,Card,Same Day,Delivered,East,Kolkata,Sales Rep A
S00034,O10034,2026-05-21,C0119,P0153,3,33389.88,0,100169.64,68031.87,32137.77,Partner,Cash,Express,Delivered,North,Jaipur,Sales Rep D
