reading_id,reading_date,customer_id,zone,units_consumed,meter_status,payment_status
R1001,2026-07-01,C001,North,95,NORMAL,PAID
R1002,2026-07-02,C002,South,132,NORMAL,PAID
R1003,2026-07-03,C003,East,169,NORMAL,OVERDUE
R1004,2026-07-04,C004,West,206,NORMAL,PAID
R1005,2026-07-05,C005,Central,243,CHECK_REQUIRED,PENDING
R1006,2026-07-06,C006,North,280,NORMAL,PAID
R1007,2026-07-07,C007,South,317,NORMAL,PAID
R1008,2026-07-08,C008,East,354,NORMAL,OVERDUE
R1009,2026-07-09,C009,West,391,NORMAL,PAID
R1010,2026-07-10,C010,Central,428,CHECK_REQUIRED,PENDING
R1011,2026-07-11,C011,North,465,NORMAL,PAID
R1012,2026-07-12,C012,South,502,NORMAL,PAID
R1013,2026-07-13,C013,East,109,NORMAL,OVERDUE
R1014,2026-07-14,C014,West,146,NORMAL,PAID
R1015,2026-07-15,C015,Central,183,CHECK_REQUIRED,PENDING
R1016,2026-07-01,C001,North,220,NORMAL,PAID
R1017,2026-07-02,C002,South,257,NORMAL,PAID
R1018,2026-07-03,C003,East,294,NORMAL,OVERDUE
R1019,2026-07-04,C004,West,331,NORMAL,PAID
R1020,2026-07-05,C005,Central,368,CHECK_REQUIRED,PENDING
R1021,2026-07-06,C006,North,405,NORMAL,PAID
R1022,2026-07-07,C007,South,442,NORMAL,PAID
R1023,2026-07-08,C008,East,479,NORMAL,OVERDUE
R1024,2026-07-09,C009,West,516,NORMAL,PAID
R1025,2026-07-10,C010,Central,123,CHECK_REQUIRED,PENDING
R1026,2026-07-11,C011,North,160,NORMAL,PAID
R1027,2026-07-12,C012,South,197,NORMAL,PAID
R1028,2026-07-13,C013,,234,NORMAL,OVERDUE
R1029,2026-07-14,C014,West,271,NORMAL,PAID
R1030,2026-07-15,C015,Central,308,CHECK_REQUIRED,PENDING
R1031,2026-07-01,C001,North,-25,NORMAL,PAID
R1032,2026-07-02,C002,South,382,NORMAL,PAID
R1033,2026-07-03,C003,East,419,NORMAL,OVERDUE
R1034,2026-07-35,C004,West,456,NORMAL,PAID
R1035,2026-07-05,C005,Central,493,CHECK_REQUIRED,PENDING
R1036,2026-07-06,,North,100,NORMAL,PAID
R1037,2026-07-07,C007,South,137,NORMAL,PAID
R1038,2026-07-08,C008,East,174,normal,OVERDUE
R1039,2026-07-09,C009,West,211,NORMAL,PAID
R1040,2026-07-10,C010,Central,248,CHECK_REQUIRED,paid
R1041,2026-07-11,C011,North,285,NORMAL,PAID
R1042,2026-07-12,C012, north ,322,NORMAL,PAID
R1043,2026-07-13,C013,East,359,NORMAL,OVERDUE
R1044,2026-07-14,C014,West,0,NORMAL,PAID
R1045,2026-07-15,C015,Central,433,CHECK_REQUIRED,PENDING
R1015,2026-07-15,C015,Central,183,CHECK_REQUIRED,PENDING
R1040,2026-07-10,C010,Central,248,CHECK_REQUIRED,paid
