event_id,event_date,shipment_id,hub_id,service_type,status,promised_hours,actual_hours,distance_km,weight_kg,delivery_charge
EVT-1001,2026-07-01,SHP-5001,HUB-BLR,EXPRESS,FAILED,72,74,944,16.21,1857.37
EVT-1002,2026-07-02,SHP-5002,HUB-CHE,STANDARD,DELIVERED,48,29,571,9.64,668.64
EVT-1003,2026-07-03,SHP-5003,HUB-CHE,EXPRESS,DELIVERED,24,20,70,19.48,307.48
EVT-1004,2026-07-04,SHP-5004,HUB-CHE,EXPRESS,DELIVERED,72,55,221,22.6,602.34
EVT-1005,2026-07-05,SHP-5005,HUB-CHE,SAME_DAY,DELIVERED,24,12,792,9.56,880.84
EVT-1006,2026-07-06,SHP-5006,HUB-PUN,STANDARD,DELIVERED,48,50,591,11.08,844.34
EVT-1007,2026-07-07,SHP-5007,HUB-PUN,SAME_DAY,DELIVERED,36,40,368,22.61,916.36
EVT-1008,2026-07-08,SHP-5008,,SAME_DAY,DELIVERED,72,107,758,1.53,1007.7
EVT-1009,2026-07-09,SHP-5009,HUB-CHE,SAME_DAY,RETURNED,48,58,790,4.58,1329.4
EVT-1010,2026-07-10,SHP-5010,HUB-CHE,STANDARD,FAILED,72,86,135,13.02,363.68
EVT-1011,2026-07-11,SHP-5011,HUB-CHE,STANDARD,DELIVERED,48,65,572,18.91,981.79
EVT-1012,2026-07-12,SHP-5012,HUB-BLR,SAME_DAY,DELIVERED,24,28,1171,4.42,1170.42
EVT-1013,2026-07-13,SHP-5013,HUB-CHE,STANDARD,DELIVERED,72,84,456,27.23,863.95
EVT-1014,2026-07-14,SHP-5014,HUB-CHE,EXPRESS,DELIVERED,24,18,354,20.42,578.54
EVT-1015,2026-07-15,SHP-5015,HUB-CBE,STANDARD,FAILED,72,-5,986,9.27,1189.63
EVT-1016,2026-07-01,SHP-5016,HUB-CHE,STANDARD,DELIVERED,24,12,977,20.98,1518.7
EVT-1017,2026-07-02,SHP-5017,HUB-PUN,EXPRESS,RETURNED,24,8,742,3.07,1138.97
EVT-1018,2026-07-03,SHP-5018,HUB-HYD,SAME_DAY,DELIVERED,24,33,530,13.93,771.69
EVT-1019,2026-07-04,SHP-5019,HUB-CHE,SAME_DAY,DELIVERED,48,29,472,21.93,912.68
EVT-1020,2026-07-05,SHP-5020,HUB-BLR,SAME_DAY,DELIVERED,36,8,128,0.68,214.26
EVT-1021,2026-07-06,SHP-5021,HUB-CBE,SAME_DAY,DELIVERED,72,105,357,27.15,735.5
EVT-1022,2026-07-07,SHP-5022,HUB-CBE,STANDARD,DELIVERED,72,62,590,18.25,1027.42
EVT-1023,2026-07-08,SHP-5023,HUB-HYD,STANDARD,IN_TRANSIT,72,73,1263,0,1364.4
EVT-1024,2026-07-09,SHP-5024,HUB-CBE,SAME_DAY,DELIVERED,72,76,1160,21.47,2109.39
EVT-1025,2026-07-10,SHP-5025,HUB-PUN,EXPRESS,DELIVERED,36,39,417,10.61,550.84
EVT-1026,2026-07-11,SHP-5026,HUB-CBE,EXPRESS,DELIVERED,24,34,433,12.41,653.46
EVT-1027,2026-07-12,SHP-5027,HUB-CHE,SAME_DAY,DELIVERED,48,64,1174,2.52,1755.31
EVT-1028,2026-07-13,SHP-5028,HUB-CBE,EXPRESS,IN_TRANSIT,24,28,281,27.13,617.12
EVT-1029,2026-07-14,SHP-5029,HUB-CHE,SAME_DAY,DELIVERED,36,49,249,20.06,517.95
EVT-1030,2026-07-15,SHP-5030,HUB-PUN,STANDARD,DELIVERED,72,87,1354,21.96,2488.74
EVT-1031,2026-07-01,SHP-5031,HUB-BLR,SAME_DAY,RETURNED,24,8,237,20.25,462.52
EVT-1032,2026-07-02,SHP-5032,HUB-HYD,SAME_DAY,UNKNOWN,72,36,1001,26.58,1546.86
EVT-1033,2026-07-03,SHP-5033,HUB-CHE,EXPRESS,DELIVERED,48,43,318,1.42,561.7
EVT-1034,2026-07-04,SHP-5034,HUB-CBE,SAME_DAY,DELIVERED,72,95,1110,14.5,1707.88
EVT-1035,2026-07-05,SHP-5035,HUB-HYD,SAME_DAY,DELIVERED,72,94,879,25.56,1576.84
EVT-1036,2026-07-06,SHP-5036,HUB-CHE,EXPRESS,RETURNED,36,11,708,23.62,1184.63
EVT-1037,2026-07-07,SHP-5037,HUB-BLR,EXPRESS,FAILED,72,89,978,17.69,1350.51
EVT-1038,2026-07-08,SHP-5038,HUB-PUN,SAME_DAY,RETURNED,24,13,382,2.41,596.21
EVT-1039,2026-07-09,SHP-5039,HUB-HYD,EXPRESS,DELIVERED,36,38,769,17.82,1431.89
EVT-1040,2026-07-10,SHP-5040,HUB-PUN,SAME_DAY,DELIVERED,24,20,222,13.68,520.58
EVT-1041,2026-07-11,SHP-5041,HUB-CHE,SAME_DAY,IN_TRANSIT,24,12,29,27.2,377.06
EVT-1042,2026-07-12,SHP-5042,HUB-CBE,SAME_DAY,DELIVERED,72,82,594,12.01,1127.04
EVT-1043,2026-07-13,SHP-5043,HUB-CBE,SAME_DAY,DELIVERED,24,19,1166,27.14,2095.8
EVT-1044,2026-07-14,SHP-5044,HUB-PUN,SAME_DAY,RETURNED,48,35,706,3.63,799.45
EVT-1045,2026-07-15,SHP-5045,HUB-CBE,STANDARD,DELIVERED,36,8,1396,26.22,2795.77
EVT-1046,2026-07-01,SHP-5046,HUB-PUN,STANDARD,IN_TRANSIT,24,54,1371,17.46,1663.47
EVT-1047,2026-07-02,SHP-5047,HUB-CHE,SAME_DAY,FAILED,36,52,201,1.7,-500
EVT-1048,2026-07-03,SHP-5048,HUB-CHE,STANDARD,IN_TRANSIT,48,32,565,13.74,790.12
EVT-1049,2026-07-04,SHP-5049,HUB-PUN,STANDARD,DELIVERED,72,76,861,13.58,1183.1
EVT-1050,2026-07-05,SHP-5050,HUB-CHE,EXPRESS,DELIVERED,72,78,173,15.73,476.68
EVT-1051,2026-07-06,SHP-5051,HUB-CBE,EXPRESS,DELIVERED,48,46,1058,2.21,1170.48
EVT-1052,2026-07-07,SHP-5052,HUB-BLR,EXPRESS,DELIVERED,72,83,39,8.39,150.32
EVT-1053,2026-07-08,SHP-5053,HUB-PUN,EXPRESS,DELIVERED,48,61,433,3.87,692.02
EVT-1054,2026-07-09,SHP-5054,HUB-CHE,SAME_DAY,IN_TRANSIT,24,40,457,18.76,808.01
EVT-1055,2026-07-10,SHP-5055,HUB-CHE,EXPRESS,FAILED,24,8,187,16.82,408.25
EVT-1056,2026-07-11,SHP-5056,HUB-CBE,EXPRESS,DELIVERED,24,30,299,7.91,586.87
EVT-1057,2026-07-12,SHP-5057,HUB-BLR,STANDARD,IN_TRANSIT,48,49,1000,11.34,1796.73
EVT-1058,2026-07-13,SHP-5058,HUB-BLR,SAME_DAY,DELIVERED,36,26,325,19.97,688.63
EVT-1059,2026-07-14,SHP-5059,HUB-BLR,STANDARD,DELIVERED,24,8,307,16.17,584.18
EVT-1060,2026-07-15,SHP-5060,HUB-HYD,SAME_DAY,FAILED,36,27,91,25.7,406.7
