order_id,customer_id,restaurant_name,city,order_status,order_amount,order_date
ORD-1001,CUS-201,Spice Hub,Bengaluru,COMPLETED,500.00,2026-07-20
ORD-1002,CUS-202,Green Bowl,Bengaluru,COMPLETED,450.00,2026-07-20
ORD-1003,CUS-203,Urban Bites,Bengaluru,COMPLETED,600.00,2026-07-21
ORD-1004,CUS-204,Pizza Corner,Mumbai,COMPLETED,980.00,2026-07-21
ORD-1005,CUS-205,Curry House,Mumbai,COMPLETED,1050.00,2026-07-21
ORD-1006,CUS-206,Dosa Point,Pune,COMPLETED,700.00,2026-07-22
ORD-1007,CUS-207,Fresh Plate,Pune,COMPLETED,750.00,2026-07-22
ORD-1008,CUS-208,Meal Box,Hyderabad,COMPLETED,520.00,2026-07-23
ORD-1009,CUS-209,Food Street,Hyderabad,COMPLETED,600.00,2026-07-23
ORD-1010,CUS-210,South Cafe,Chennai,COMPLETED,490.00,2026-07-24
ORD-1011,CUS-211,City Kitchen,Chennai,COMPLETED,600.00,2026-07-24
ORD-1001,CUS-201,Spice Hub,Bengaluru,COMPLETED,500.00,2026-07-20
ORD-1012,CUS-212,Urban Bites,Bengaluru,CANCELLED,300.00,2026-07-25
ORD-1013,CUS-213,Green Bowl,,COMPLETED,400.00,2026-07-25
ORD-1014,CUS-214,Pizza Corner,Mumbai,COMPLETED,-100.00,2026-07-25
