order_id,order_date,customer_id,state,category,quantity,unit_price,payment_status
O1001,2026-07-01,C001,Tamil Nadu,Electronics,1,42000,PAID
O1002,2026-07-01,C002,Karnataka,Grocery,5,180,PAID
O1003,2026-07-01,C003,Tamil Nadu,Fashion,2,1250,PAID
O1004,2026-07-01,C004,Kerala,Electronics,1,18500,PAID
O1005,2026-07-01,C005,Telangana,Grocery,10,95,PAID
O1006,2026-07-02,C006,Karnataka,Home,3,850,PAID
O1007,2026-07-02,C007,Tamil Nadu,Electronics,2,3200,PAID
O1008,2026-07-02,C008,Kerala,Fashion,1,2100,CANCELLED
O1009,2026-07-02,C009,Telangana,Home,2,1400,PAID
O1010,2026-07-02,C010,Karnataka,Grocery,8,130,PAID
O1011,2026-07-03,C011,Tamil Nadu,Grocery,12,75,PAID
O1012,2026-07-03,C012,Kerala,Electronics,1,27500,PAID
O1013,2026-07-03,C013,Telangana,Fashion,3,900,PAID
O1014,2026-07-03,C014,Karnataka,Home,1,7600,PAID
O1015,2026-07-03,C015,Tamil Nadu,Fashion,2,1600,PAID
O1016,2026-07-04,C016,Kerala,Grocery,6,145,PAID
O1017,2026-07-04,C017,Telangana,Electronics,1,56000,PAID
O1018,2026-07-04,C018,Karnataka,Fashion,4,650,PAID
O1019,2026-07-04,C019,Tamil Nadu,Home,2,2200,PAID
O1020,2026-07-04,C020,Kerala,Home,0,900,PAID
O1021,2026-07-05,C021,Telangana,Grocery,7,120,PAID
O1022,2026-07-05,C022,Karnataka,Electronics,1,33000,PAID
O1023,2026-07-05,C023,Tamil Nadu,Fashion,2,1450,PAID
O1024,2026-07-05,C024,Kerala,Home,1,4800,PAID
O1025,2026-07-05,C025,Telangana,Fashion,3,1100,PAID
O1026,2026-07-06,C026,Karnataka,Grocery,5,165,PAID
O1027,2026-07-06,C027,Tamil Nadu,Electronics,1,22000,PAID
O1028,2026-07-06,C028,Kerala,Fashion,2,980,PAID
O1029,2026-07-06,C029,Telangana,Home,2,1750,PAID
O1030,2026-07-06,C030,Karnataka,Electronics,1,-500,PAID
O1007,2026-07-02,C007,Tamil Nadu,Electronics,2,3200,PAID
,2026-07-06,C031,Tamil Nadu,Grocery,3,110,PAID
