order_item_id,order_id,product_id,quantity,unit_price,discount_pct,line_total
OI000000001,O00000001,P00143,1,2754.00,0.00,2754.00
OI000000002,O00000001,P00102,1,19024.00,20.00,15219.20
OI000000003,O00000001,P00932,2,68435.00,0.00,136870.00
OI000000004,O00000001,P00851,1,701.00,15.00,595.85
OI000000005,O00000002,P00850,5,11541.00,0.00,57705.00
OI000000006,O00000002,P00790,5,18380.00,15.00,78115.00
OI000000007,O00000002,P00846,2,2945.00,0.00,5890.00
OI000000008,O00000003,P00386,2,4266.00,0.00,8532.00
OI000000009,O00000003,P01014,3,3292.00,0.00,9876.00
OI000000010,O00000004,P00097,4,2553.00,10.00,9190.80
OI000000011,O00000004,P00527,2,50464.00,0.00,100928.00
OI000000012,O00000005,P01145,3,4691.00,10.00,12665.70
OI000000013,O00000005,P00876,2,2474.00,5.00,4700.60
OI000000014,O00000005,P00531,4,54897.00,5.00,208608.60
OI000000015,O00000005,P00404,1,3182.00,20.00,2545.60
OI000000016,O00000006,P00269,2,41316.00,5.00,78500.40
OI000000017,O00000007,P00317,2,1650.00,0.00,3300.00
OI000000018,O00000007,P00837,3,4464.00,10.00,12052.80
OI000000019,O00000007,P00912,3,44602.00,5.00,127115.70
OI000000020,O00000008,P00756,4,25502.00,0.00,102008.00
OI000000021,O00000008,P00297,5,4910.00,0.00,24550.00
OI000000022,O00000008,P00656,3,3510.00,0.00,10530.00
OI000000023,O00000008,P01176,3,18590.00,20.00,44616.00
OI000000024,O00000009,P00502,5,42175.00,0.00,210875.00
OI000000025,O00000009,P01097,4,1990.00,0.00,7960.00
OI000000026,O00000009,P00365,1,4249.00,5.00,4036.55
OI000000027,O00000009,P00797,5,212.00,0.00,1060.00
OI000000028,O00000010,P00114,4,13635.00,0.00,54540.00
OI000000029,O00000011,P00779,4,76912.00,5.00,292265.60
OI000000030,O00000011,P01120,3,22158.00,0.00,66474.00
OI000000031,O00000011,P01061,4,23166.00,10.00,83397.60
OI000000032,O00000011,P00946,5,3095.00,0.00,15475.00
OI000000033,O00000012,P01073,3,2314.00,10.00,6247.80
OI000000034,O00000013,P00267,3,5381.00,20.00,12914.40
OI000000035,O00000014,P00587,1,4107.00,0.00,4107.00
OI000000036,O00000014,P00462,4,3955.00,0.00,15820.00
