order_id,customer_id,order_date,order_status,channel,currency,subtotal,discount_amount,tax_amount,shipping_cost,total_amount,promo_code,shipping_city,shipping_state,shipping_country,last_updated
O00000001,C001785,2024-10-20 05:40:00,Delivered,Web,EUR,159349.00,19844.85,25110.75,0.00,164614.90,NEW10,London,Texas,India,2024-10-24 20:40:00
O00000002,C004888,2024-09-08 23:47:00,Delivered,Store,USD,155495.00,44884.00,19909.98,0.00,130520.98,FESTIVE20,Delhi,Washington,United States,2024-09-17 22:47:00
O00000003,C000441,2026-05-01 19:06:00,Pending,Store,INR,18408.00,3681.60,2650.75,0.00,17377.15,FESTIVE20,Mumbai,West Bengal,India,2026-05-09 08:06:00
O00000004,C003321,2024-11-09 12:17:00,Delivered,Store,INR,111140.00,6578.20,18821.12,0.00,123382.92,APP5,London,Ontario,India,2024-11-11 13:17:00
O00000005,C004551,2024-04-30 14:48:00,Shipped,Marketplace,INR,241791.00,13270.50,41133.69,0.00,269654.19,,Seattle,Maharashtra,United States,2024-05-06 04:48:00
O00000006,C002172,2024-06-20 00:36:00,Processing,Mobile,INR,82632.00,20658.00,11155.32,0.00,73129.32,FESTIVE20,Toronto,Delhi,India,2024-06-26 02:36:00
O00000007,C002169,2025-01-29 08:16:00,Delivered,Marketplace,INR,150498.00,15554.40,24289.85,0.00,159233.45,APP5,Toronto,England,India,2025-01-31 04:16:00
O00000008,C000091,2026-03-08 23:48:00,Delivered,Web,INR,192858.00,49725.60,25763.83,0.00,168896.23,FESTIVE20,Toronto,Karnataka,United States,2026-03-13 01:48:00
O00000009,C001186,2026-04-03 02:19:00,Shipped,Web,EUR,224144.00,33834.05,34255.79,0.00,224565.74,VIP15,Hyderabad,England,India,2026-04-11 08:19:00
O00000010,C004064,08/29/2024 09:05,Placed,Marketplace,INR,54540.00,0.00,9817.20,0.00,64357.20,,Chennai,Karnataka,United Kingdom,2024-09-03 21:05:00
O00000011,C005022,2025-07-15 23:55:00,Cancelled,Mobile,INR,482261.00,72874.90,73689.50,0.00,483075.60,NEW10,Mumbai,Delhi,United Kingdom,2025-07-17 06:55:00
O00000012,C005298,2026-01-04 13:39:00,Delivered,Web,INR,6942.00,1041.30,1062.13,0.00,6962.83,APP5,Hyderabad,West Bengal,India,2026-01-11 14:39:00
O00000013,C001547,2024-05-29 06:37:00,Delivered,Mobile,INR,16143.00,4842.90,2034.02,0.00,13334.12,NEW10,London,Ontario,United States,2024-06-08 03:37:00
O00000014,C003253,2024-01-17 05:40:00,Processing,Store,INR,23259.00,3488.85,3558.63,0.00,23328.78,VIP15,Delhi,West Bengal,United Kingdom,2024-01-22 05:40:00
O00000015,C002744,2025-02-23 18:34:00,Delivered,Web,INR,78181.00,15636.20,11258.06,0.00,73802.86,FESTIVE20,Kochi,Texas,India,2025-03-05 03:34:00
O00000016,C005555,2025-12-14 07:40:00,Delivered,Store,INR,100545.00,30163.50,12668.67,0.00,83050.17,VIP15,Toronto,Ontario,United States,2025-12-21 14:40:00
O00000017,C000259,2025/01/25 05:03:00,Shipped,Store,INR,283154.00,42142.10,43382.14,0.00,284394.04,APP5,Chennai,West Bengal,India,2025-01-25 06:03:00
O00000018,C005380,2025-04-14 15:54:00,Delivered,Store,INR,177144.00,27313.80,26969.44,0.00,176799.64,VIP15,Pune,Texas,India,2025-04-21 13:54:00
O00000019,C002809,2026-05-29 20:16:00,Shipped,Web,INR,111289.00,27386.65,15102.42,0.00,99004.77,NEW10,Kochi,Telangana,United Kingdom,2026-06-06 08:16:00
O00000020,C000701,10/05/2025 22:22,Cancelled,Store,INR,82963.00,4767.05,14075.27,0.00,92271.22,APP5,Toronto,Kerala,India,2025-10-08 05:22:00
