product_id,product_name,category,subcategory,brand,unit_price,cost_price,stock_quantity,supplier_id,product_rating,created_date,is_active
P00001,UrbanCo Snacks Model 1,Grocery,Snacks,UrbanCo,1194.00,914.75,528,S0042,3.2,2022-11-16,false
P00002,Nova Outdoor Model 2,Sports,Outdoor,Nova,22560.00,12160.62,125,S0097,4.0,2024-02-04,true
P00003,HomeCraft Staples Model 3,Grocery,Staples,HomeCraft,884.00,463.28,603,S0066,4.3,2022-07-08,1
P00004,Pixel Audio Model 4,Electronics,Audio,Pixel,22353.00,17117.19,781,S0046,4.3,2022-01-04,Y
P00005,Nova Children Model 5,Books,Children,Nova,833.00,587.03,271,S0023,4.1,2025-01-12,1
P00006,GlowCare Fiction Model 6,Books,Fiction,GlowCare,3835.00,3114.81,201,S0037,2.9,2023-12-29,0
P00007,Zenith Hair Care Model 7,Beauty,Hair Care,Zenith,4628.00,2682.66,127,S0049,3.2,2023-09-13,N
P00008,Zenith Skin Care Model 8,Beauty,Skin Care,Zenith,1716.00,1049.64,983,S0030,3.9,2021-09-27,true
P00009,UrbanCo Household Model 9,Grocery,Household,UrbanCo,1619.00,1301.13,232,S0060,4.9,2021-12-10,false
P00010,UrbanCo Audio Model 10,Electronics,Audio,UrbanCo,39606.00,22681.35,973,S0025,4.0,2024-07-05,No
P00011,UrbanCo Women Model 11,Fashion,Women,UrbanCo,37873.00,30971.33,598,S0038,4.1,2022-07-09,0
P00012,HomeCraft Outdoor Model 12,Sports,Outdoor,HomeCraft,69172.00,35352.21,466,S0035,4.7,2025-01-30,0
P00013,Apex Business Model 13,Books,Business,Apex,3995.00,1819.16,817,S0008,4.9,2022-02-06,Yes
P00014,HomeCraft Laptops Model 14,Electronics,Laptops,HomeCraft,66670.00,50428.62,29,S0075,3.1,2023-11-05,0
P00015,Nova Bags Model 15,Fashion,Bags,Nova,37726.00,17040.56,878,S0084,3.5,2023-01-14,true
P00016,Orbit Fiction Model 16,Books,Fiction,Orbit,146.00,107.86,572,S0057,4.4,2025-12-21,N
P00017,Apex Household Model 17,Grocery,Household,Apex,1197.00,947.74,896,S0002,3.8,2025-11-06,1
P00018,Orbit Personal Care Model 18,Beauty,Personal Care,Orbit,1789.00,949.18,338,S0019,3.4,2021-06-04,Yes
P00019,Orbit Technology Model 19,Books,Technology,Orbit,3133.00,2262.91,424,S0005,4.0,2024-12-19,0
P00020,UrbanCo Appliances Model 20,Home,Appliances,UrbanCo,22574.00,17303.98,200,S0060,4.2,2023-11-11,true
P00021,HomeCraft Appliances Model 21,Home,Appliances,HomeCraft,17204.00,14059.05,388,S0069,3.6,2025-03-29,true
P00022,PrimeFit Men Model 22,Fashion,Men,PrimeFit,50527.00,40315.90,384,S0049,4.9,2021-05-05,1
P00023,Pixel Kitchen Model 23,Home,Kitchen,Pixel,70370.00,55411.66,676,S0034,4.2,2022-11-14,Yes
P00024,BookNest Technology Model 24,Books,Technology,BookNest,4419.00,2929.56,975,S0035,2.8,2024-09-21,No
P00025,Orbit Cameras Model 25,Electronics,Cameras,Orbit,35908.00,16294.82,685,S0044,4.5,2025-04-10,false
P00026,Apex Fiction Model 26,Books,Fiction,Apex,675.00,387.86,861,S0024,4.4,2023-04-30,N
P00027,HomeCraft Bedding Model 27,Home,Bedding,HomeCraft,51458.00,24906.33,80,S0059,4.1,2022-07-30,0
P00028,Apex Kitchen Model 28,Home,Kitchen,Apex,68258.00,43178.93,359,S0045,4.1,2024-04-24,true
P00029,Zenith Footwear Model 29,Fashion,Footwear,Zenith,67156.00,33375.77,19,S0004,3.0,2022-10-03,0
P00030,Zenith Bedding Model 30,Home,Bedding,Zenith,23744.00,16923.74,112,S0082,2.8,2024-01-13,false
P00031,GreenLeaf Fitness Model 31,Sports,Fitness,GreenLeaf,50906.00,29948.62,207,S0077,3.0,2025-01-29,Y
P00032,GreenLeaf Cameras Model 32,Electronics,Cameras,GreenLeaf,45413.00,27680.71,883,S0003,4.0,2023-09-27,true
P00033,GreenLeaf Education Model 33,Books,Education,GreenLeaf,1558.00,1163.80,63,S0020,3.3,2023-06-10,1
P00034,UrbanCo Cycling Model 34,Sports,Cycling,UrbanCo,19712.00,14187.78,83,S0050,3.8,2022-04-06,N
P00035,Swift Organic Model 35,Grocery,Organic,Swift,1208.00,737.37,480,S0046,2.9,2022-09-29,Yes
P00036,Zenith Outdoor Model 36,Sports,Outdoor,Zenith,51434.00,24927.15,774,S0074,3.2,2021-06-06,0
P00037,PrimeFit Fitness Model 37,Sports,Fitness,PrimeFit,22155.00,12213.00,704,S0048,3.3,2025-09-15,Yes
P00038,BookNest Cycling Model 38,Sports,Cycling,BookNest,74331.00,40786.89,908,S0023,3.7,2024-05-29,Yes
P00039,Orbit Business Model 39,Books,Business,Orbit,1101.00,672.06,155,S0021,4.6,2022-10-25,No
P00040,Orbit Women Model 40,Fashion,Women,Orbit,16526.00,9410.15,90,S0054,4.1,2022-04-11,Y
P00041,Nova Laptops Model 41,Electronics,Laptops,Nova,19871.00,11224.69,588,S0064,4.9,2021-04-02,1
P00042,Nova Decor Model 42,Home,Decor,Nova,68879.00,47264.03,807,S0071,2.7,2024-10-31,false
P00043,Nova Footwear Model 43,Fashion,Footwear, nova ,13291.00,6932.89,579,S0040,4.4,2022-11-28,false
P00044,PrimeFit Outdoor Model 44,Sports,Outdoor,PrimeFit,4115.00,2542.32,855,S0028,3.7,2021-04-28,Yes
P00045,Zenith Outdoor Model 45,Sports,Outdoor,Zenith,52704.00,25552.13,907,S0015,4.9,2021-10-18,false
P00046,GlowCare Staples Model 46,Grocery,Staples,GlowCare,93.00,62.05,347,S0022,4.6,2024-12-29,false
P00047,GreenLeaf Staples Model 47,Grocery,Staples,GreenLeaf,4794.00,3283.11,465,S0096,3.1,2024-11-16,N
P00048,PrimeFit Skin Care Model 48,Beauty,Skin Care,PrimeFit,2317.00,1490.13,64,S0038,3.3,2023-10-22,0
P00049,PrimeFit Bags Model 49,Fashion,Bags,PrimeFit,61894.00,29487.82,213,S0068,3.4,2022-12-23,Yes
P00050,Orbit Education Model 50,Books,Education,Orbit,4164.00,2622.68,366,S0056,3.3,2022-07-16,Yes
P00051,Zenith Skin Care Model 51,Beauty,Skin Care,Zenith,3298.00,2246.60,616,S0020,2.9,2021-05-04,N
P00052,HomeCraft Education Model 52,Books,Education,HomeCraft,421.00,252.17,991,S0005,4.3,2023-09-20,1
P00053,HomeCraft Business Model 53,Books,Business,HomeCraft,1722.00,1313.73,958,S0090,4.9,2021-10-25,N
P00054,GlowCare Staples Model 54,Grocery,Staples,GlowCare,3435.00,2220.43,524,S0093,4.5,2022-11-17,No
P00055,UrbanCo Hair Care Model 55,Beauty,Hair Care,UrbanCo,1489.00,859.45,656,S0095,2.6,2022-09-21,0
P00056,GreenLeaf Audio Model 56,Electronics,Audio,GreenLeaf,5613.00,3248.97,463,S0056,2.6,2022-11-26,0
P00057,GreenLeaf Fiction Model 57,Books,Fiction,GreenLeaf,4926.00,3999.88,648,S0047,3.8,2024-01-15,false
P00058,BookNest Decor Model 58,Home,Decor,BookNest,68345.00,35500.36,596,S0085,4.3,2024-09-24,0
P00059,Apex Fiction Model 59,Books,Fiction,Apex,FREE,1971.97,53,S0049,4.4,2023-10-04,Y
P00060,GreenLeaf Laptops Model 60,Electronics,Laptops,GreenLeaf,9691.00,4435.31,790,S0046,2.9,2025-07-26,1
P00061,GlowCare Kitchen Model 61,Home,Kitchen,GlowCare,48395.00,36692.65,135,S0037,2.7,2025-02-04,false
P00062,HomeCraft Audio Model 62,Electronics,Audio,HomeCraft,68815.00,43098.05,91,S0037,3.6,2021-06-08,No
P00063,UrbanCo Women Model 63,Fashion,Women,UrbanCo,43782.00,32862.07,209,S0023,3.8,2023-03-13,0
P00064,BookNest Watches Model 64,Fashion,Watches,BookNest,59206.00,41204.93,72,S0078,4.8,2024-12-12,0
