return_id,order_id,product_id,return_date,return_reason,return_status,refund_amount
RET0000001,O00000964,P00336,2025-06-27,Wrong Item,Requested,37794.68
RET0000002,O00023256,P00955,2025-11-03,Quality Issue,Refunded,164688.74
RET0000003,O00005803,P01029,2026-06-10,Size Issue,Requested,6467.84
RET0000004,O00021335,P00327,2025-06-16,Changed Mind,Refunded,19201.78
RET0000005,O00010422,P00972,2024-03-18,Wrong Item,Requested,68459.35
RET0000006,O00008716,P00604,2025-12-27,Not as Described,Rejected,53622.67
RET0000007,O00018850,P00085,2026-05-17,Quality Issue,Refunded,19010.59
RET0000008,O00002546,P00268,2025-07-12,Size Issue,Rejected,220071.30
RET0000009,O00010584,P00486,2026-07-31,Quality Issue,Approved,59435.37
RET0000010,O00001213,P01174,2024-05-20,Size Issue,Rejected,37726.51
RET0000011,O00023065,P00548,2025-04-22,Damaged,Rejected,4988.36
RET0000012,O00020836,P00149,2024-09-04,Quality Issue,Rejected,42410.28
RET0000013,O00010990,P00646,2025-04-02,Wrong Item,Refunded,8230.18
RET0000014,O00010479,P01068,2026-01-11,Damaged,Rejected,93101.74
RET0000015,O00007547,P00726,2025-09-16,Damaged,Refunded,1598.63
RET0000016,O00020090,P00869,2025-03-08,Quality Issue,Refunded,108428.42
RET0000017,O00024105,P00140,2026-06-26,Not as Described,Approved,26608.62
RET0000018,O00016941,P00960,2026-03-06,Size Issue,Approved,9151.13
RET0000019,O00017833,P00713,2025-03-12,Wrong Item,Rejected,11010.23
RET0000020,O00002042,P00864,2026-06-03,Changed Mind,Approved,40328.36
RET0000021,O00016707,P00013,2025-10-24,Changed Mind,Requested,74509.75
RET0000022,O00009226,P01126,2024-10-13,Quality Issue,Rejected,6307.73
RET0000023,O00019636,P00119,2025-11-25,Wrong Item,Rejected,74043.96
RET0000024,O00022747,P00652,2026-03-01,Wrong Item,Rejected,38212.81
RET0000025,O00007490,P00985,2026-07-19,Late Delivery,Requested,75514.56
RET0000026,O00012399,P00760,2024-07-03,Size Issue,Rejected,131235.87
RET0000027,O00013870,P00772,2025-03-16,Not as Described,Rejected,116231.98
RET0000028,O00013558,P01112,2024-03-06,Changed Mind,Rejected,55170.48
RET0000029,O00001255,P00057,2024-06-24,Damaged,Requested,42258.88
RET0000030,O00004032,P01041,2024-04-23,Changed Mind,Refunded,40354.46
RET0000031,O00009423,P01091,2025-12-08,Damaged,Approved,45175.64
RET0000032,O00024624,P00495,2024-03-06,Wrong Item,Requested,132832.18
RET0000033,O00004745,P00430,2026-06-12,Quality Issue,Refunded,198925.91
RET0000034,O00011516,P01122,2025-02-16,Changed Mind,Requested,4618.78
RET0000035,O00013970,P01171,2025-09-03,Wrong Item,Requested,113624.57
RET0000036,O00006985,P00057,2025-06-25,Quality Issue,Approved,8242.17
RET0000037,O00010929,P01048,2025-06-09,Size Issue,Approved,60008.74
RET0000038,O00010042,P00237,2025-10-12,Wrong Item,Requested,292699.40
RET0000039,O00008155,P00480,2025-07-19,Quality Issue,Approved,17978.45
RET0000040,O00007440,P00061,2024-12-24,Wrong Item,Approved,129717.04
RET0000041,O00002566,P00788,2024-03-12,Not as Described,Rejected,146703.46
RET0000042,O00022576,P00876,2025-04-28,Damaged,Approved,76015.53
RET0000043,O00020778,P00250,2026-04-11,Changed Mind,Requested,26045.11
RET0000044,O00023511,P00096,2025-03-08,Size Issue,Approved,204996.76
RET0000045,O00018191,P00414,2026-08-04,Not as Described,Requested,18399.70
RET0000046,O00023068,P00562,2025-01-06,Wrong Item,Refunded,45862.76
RET0000047,O00023232,P01033,2024-11-09,Quality Issue,Requested,9394.56
RET0000048,O00012260,P00131,2026-06-10,Late Delivery,Requested,12187.48
RET0000049,O00005264,P00325,2024-06-07,Changed Mind,Approved,17182.74
RET0000050,O00006854,P01175,2025-01-02,Damaged,Requested,86167.44
RET0000051,O00001097,P00715,2026-02-26,Size Issue,Refunded,353195.24
RET0000052,O00011113,P00745,2024-06-19,Size Issue,Approved,13600.38
RET0000053,O00021660,P00519,2026-04-01,Size Issue,Approved,53924.68
RET0000054,O00015134,P01046,2025-08-01,Damaged,Approved,85979.58
RET0000055,O00003039,P01155,2026-06-17,Quality Issue,Rejected,176362.41
RET0000056,O00007686,P01150,2026-08-08,Wrong Item,Rejected,171854.50
