shipment_id,order_id,shipment_date,delivery_date,carrier,tracking_number,shipment_status,shipping_cost
SHP00000001,O00000001,2024-10-20,2024-10-23,DTDC,TRK32055392794,Delivered,0.00
SHP00000002,O00000002,2024-09-08,2024-09-15,DTDC,TRK26865211959,Delivered,49.00
SHP00000003,O00000004,2024-11-09,2024-11-10,DTDC,TRK83072057598,Delivered,79.00
SHP00000004,O00000005,2024-05-03,,BlueDart,TRK85342759974,In Transit,99.00
SHP00000005,O00000006,2024-06-22,,Delhivery,TRK22259912713,Processing,149.00
SHP00000006,O00000007,2025-01-30,2025-02-03,DHL,TRK71818890007,Delivered,49.00
SHP00000007,O00000008,2026-03-10,2026-03-16,DTDC,TRK95263886209,Delivered,149.00
SHP00000008,O00000009,2026-04-03,,Delhivery,TRK54361045605,In Transit,79.00
SHP00000009,O00000010,2024-08-30,,India Post,TRK87145960906,Processing,49.00
SHP00000010,O00000012,2026-01-05,2026-01-12,FedEx,TRK58333577132,Delivered,149.00
SHP00000011,O00000013,2024-05-30,2024-06-01,DHL,TRK21375991269,Delivered,79.00
SHP00000012,O00000014,2024-01-20,,DHL,TRK39496355390,Processing,79.00
SHP00000013,O00000015,2025-02-23,2025-02-28,DTDC,TRK16024226065,Delivered,149.00
SHP00000014,O00000016,2025-12-16,2025-12-17,FedEx,TRK68423049590,Delivered,99.00
SHP00000015,O00000017,2025-01-28,,BlueDart,TRK46329113627,In Transit,149.00
SHP00000016,O00000018,2025-04-16,2025-04-22,BlueDart,TRK80079055934,Delivered,149.00
SHP00000017,O00000019,2026-05-30,,BlueDart,TRK98904378028,In Transit,0.00
SHP00000018,O00000021,2026-04-18,2026-04-21,India Post,TRK48759304166,Delivered,79.00
SHP00000019,O00000022,2024-06-09,2024-06-14,DHL,TRK21301942849,Delivered,149.00
SHP00000020,O00000024,2024-07-31,,Delhivery,TRK23142637655,Processing,49.00
SHP00000021,O00000025,2026-06-23,,DTDC,TRK91450479124,In Transit,0.00
SHP00000022,O00000026,2025-12-29,2025-12-30,DTDC,TRK21106310517,Delivered,149.00
SHP00000023,O00000027,2025-07-23,2025-07-29,DTDC,TRK27000827997,Delivered,149.00
SHP00000024,O00000028,2025-02-25,,DHL,TRK15223284703,Processing,149.00
SHP00000025,O00000029,2025-04-28,2025-04-29,FedEx,TRK60754867349,Delivered,0.00
SHP00000026,O00000031,2024-06-07,2024-06-11,DHL,TRK58586443821,Delivered,79.00
SHP00000027,O00000032,2024-01-08,2024-01-15,DTDC,TRK74289685457,Delivered,49.00
SHP00000028,O00000033,2025-11-09,,BlueDart,TRK71668958480,Processing,0.00
SHP00000029,O00000034,2025-09-14,2025-09-21,Delhivery,TRK23722185171,Delivered,99.00
SHP00000030,O00000035,2025-05-07,2025-05-11,DHL,TRK12444360779,Delivered,79.00
SHP00000031,O00000036,2024-03-28,,BlueDart,TRK47728091556,Processing,49.00
