sale_id,sale_ts,store_id,city,product_id,quantity,unit_price,payment_mode
S001,2026-07-01 09:15:00,ST01,Coimbatore,P101,2,450.00,UPI
S002,2026-07-01 10:10:00,ST02,Chennai,P102,1,1200.00,CARD
S003,2026-07-01 11:30:00,ST01,Coimbatore,P103,3,80.00,CASH
S004,2026-07-02 12:05:00,ST03,Bengaluru,P101,1,450.00,UPI
S005,2026-07-02 13:00:00,ST02,Chennai,P104,2,700.00,CARD
S006,2026-07-02 14:20:00,ST01,Coimbatore,P999,1,300.00,UPI
S007,2026-07-03 09:45:00,ST03,Bengaluru,P102,2,1200.00,CARD
S008,2026-07-03 10:30:00,ST02,Chennai,P103,5,80.00,CASH
S008,2026-07-03 10:31:00,ST02,Chennai,P103,5,80.00,CASH
S009,bad-date,ST01,Coimbatore,P104,1,700.00,UPI
S010,2026-07-03 16:00:00,ST01,Coimbatore,P101,-1,450.00,CASH
